Fecha,Hora,Contenido,Sentimiento,
9/10/2023,9:31:00 a.m.,"RT @TwiterosCali: #Desahoguese @sntandres:Mal servicio BANCOLOMBIA, parece un metodo para retener el dinero cada quincena. https://t.co…",NEGATIVE,
9/10/2023,10:32:00 a.m.,"@Bancolombia @Bancolombia desde el viernes realice unas transferencias entre mi Fiducuenta y mi cuenta de ahorros. Tengo 2.000.000 embolatados. Hoy he llamado todo el día y no me dan respuesta, hasta cuando debo esperar ? me van a reconocer los intereses ?",NEGATIVE,
9/10/2023,11:13:00 a.m.,"@DianaOr48566183 @Bancolombia Hola, te esperamos en el chat de esta red social para acompañarte en el caso que nos comentas. Saludos.",OBJECTIVE,
9/10/2023,12:55:00 p.m.,@Bancolombia @reclamos de @Nequi sin resolver.. para cuando?,OBJECTIVE,
9/10/2023,2:21:00 p.m.,@Bancolombia Aún no pasa nada.!!!!,OBJECTIVE,
9/10/2023,3:17:00 p.m.,@Bancolombia llevo más de un mes esperando una respuesta a un reclamo @Nequi. La línea solo sirve para que lo dejen una hora en espera y cuelguen,NEGATIVE,
9/10/2023,3:01:00 p.m.,@Bancolombia  llevo más de un mes esperando una respuesta de @Nequi a un reclamo. Nueva forma de estafa ? @NoticiasCaracol @Citytv @CanalRCN,NEGATIVE,
9/10/2023,8:11:00 p.m.,@Bancolombia  responda por reclamos a través @Nequi. Dan tiempos de respuesta que no cumplen y no solucionan nada,NEGATIVE,
9/10/2023,6:52:00 a.m.,"Si tienen un negocio, llegó el momento de decirles sí a más personas con el nuevo Código QR. Ahora se puede renovar gratis y recibir los pagos sin costo de sus clientes, que tienen cuentas de otros bancos, a su cuenta Bancolombia. Aquí 👉 https://www.bancolombia.com/pagos/codigo-qr/generar?utm_campaign=always-on-pymes-codigo-qr-nuevo-codigo-qr&utm_source=sms&utm_medium=link&utm_content=nuevo-codigo-qr la información https://t.co/cD933GSIz6",POSITIVE,
9/10/2023,8:07:00 a.m.,El techo de cristal es una realidad que todavía está presente en muchas organizaciones. ¿Cómo podemos romperlo e impulsar la igualdad y equidad de género? ¡En este artículo 👉https://www.bancolombia.com/negocios/actualizate/sostenibilidad/techo-de-cristal-mujeres de Actualízate Bancolombia pueden descubrirlo! https://t.co/TSYqIA7BGj,OBJECTIVE,
